,IC
MIN10,0.07036662270073385
MIN5,0.064837358384877
RESI20,-0.05520957155416656
QTLD5,0.05116553878626018
BETA5,-0.05106949970761494
MIN60,0.04711606153210309
MIN30,0.04577295928016846
ROC5,0.04566434601978171
KLEN,-0.04561017406695557
MA5,0.0428347220672328
MA10,0.04229128459274828
STD60,-0.0421517781727314
CNTN60,-0.04188695088704219
QTLD10,0.04173018102870966
RESI30,-0.041047679702427974
STD30,-0.04074203857367122
CNTN30,-0.04015572010156982
STD10,-0.03998307676882508
STD20,-0.03972092958062347
MAX60,-0.03962341300187173
MIN20,0.03960799770598685
QTLD30,0.037288444906693086
SUMD10,-0.03669825072886297
SUMP10,-0.03669825072886297
SUMN10,0.03669825072886297
KUP,-0.03639513510890755
QTLD20,0.03569918129290394
KLOW,-0.035486975788247714
QTLU60,-0.03539505510305246
LOW0,0.03502148618226878
RESI10,-0.034924499982514734
IMIN20,-0.03475409231108173
CORR60,-0.034646921955595426
SUMP5,-0.03417873260043182
SUMD5,-0.03412907375615722
SUMN5,0.03366859163180044
CNTN20,-0.03286355970317849
RSV5,-0.032644616292619104
CNTD60,0.03213190982568843
WVMA5,0.03173073660791277
BETA10,-0.030676409903511233
CNTD30,0.03052586677479072
VSUMP10,-0.029668390255196988
MAX30,-0.029639511839626178
QTLD60,0.02931185112530145
IMAX5,-0.029171769298489428
SUMN60,-0.02865202399641174
SUMP60,0.02865202399641174
SUMD60,0.02865202399641174
STD5,-0.028370704550698095
QTLU5,0.028010621006259118
VSUMP5,-0.02778162894179123
VSUMD10,-0.027701907291730547
MAX20,-0.02742191926351167
CORR10,-0.026934290199596325
CORR5,-0.026349097331240183
RANK10,-0.026073085171168665
IMIN60,0.02568929311303878
ROC10,0.025523230520547755
QTLU10,0.024896518312712612
IMIN30,0.024474691825810448
IMXD5,-0.024400264434796707
CORD5,-0.024064392240412645
MA20,0.02252378060868601
RANK5,-0.021952563201520375
WVMA10,0.02166963910119133
VSUMN10,0.021578936945699775
VMA10,0.021447693950283286
RSV10,-0.02120861776595395
HIGH0,-0.021122219196528298
CNTD20,0.02092700390801382
VSUMD5,-0.02083642262229709
ROC60,-0.020470490976928303
CNTP5,-0.02042694602277194
BETA30,0.0203394819466248
RANK20,-0.020011062041707234
CORR30,-0.019735366674142184
VSUMN20,-0.01873287331301725
RSQR20,0.018572690065037
VSTD20,-0.018319568804098435
RSQR30,0.01825801749271137
VMA60,-0.018104562529945814
KLOW2,-0.01793560215514454
RESI60,-0.017854401861229757
IMAX60,0.01652014023923089
VSTD60,-0.0163768121698218
BETA60,0.016313915676160567
CNTP30,0.016103110765131733
CNTD5,-0.015808715273357126
RSV60,0.015691518438982324
VSUMP30,-0.01535241669866933
VSUMN5,0.015153001512761334
MAX10,-0.01488127722867229
ROC20,-0.014812000698449396
IMXD20,0.014320841547080259
KSFT2,-0.014141475662858616
WVMA30,0.013938571732097095
VSUMD20,0.013930432108431895
CORR20,-0.013701222247140616
RSQR60,0.013650762502803317
RANK30,-0.013556070681605201
CNTN5,0.013443490164097259
CNTP60,0.013403929739160951
QTLU30,-0.013205488900242084
VMA20,0.012522446158956155
VSUMD30,-0.012316654446768655
KMID,-0.012184820346380862
VMA5,0.012176013901674191
BETA20,0.01202904238618523
ROC30,-0.011618356133662251
RSQR10,-0.011617655303879797
OPEN0,0.011532736230163362
WVMA60,-0.011317457361074219
VSUMP20,0.011203837533484896
SUMD30,0.010916124691634893
SUMP30,0.010916124691634893
SUMN30,-0.010916124691634893
MA60,-0.010777788505399908
KMID2,-0.010391203184570524
VSUMN30,0.009910045547333891
SUMD20,0.009859974209463997
SUMN20,-0.009859974209463997
SUMP20,0.009859974209463997
CNTP20,0.009345781675788034
CORD10,-0.009150734469612022
RSQR5,0.008994449428122898
KUP2,-0.008857095998124821
CNTN10,-0.008772194860201223
IMIN5,0.00821839573576985
QTLU20,0.008186269082485872
IMIN10,0.008062962556389639
CORD60,-0.007969836286162815
WVMA20,0.007687188245797515
VSTD5,-0.007404639989226881
VSTD30,-0.007370842053718725
CORD30,-0.006521221125812963
IMAX30,0.006342299753593565
VSTD10,-0.005943954695046331
IMXD10,0.005654238653735528
MAX5,-0.005547868012251777
CORD20,-0.0050866225611123595
KSFT,-0.005028020320410235
CNTP10,-0.004804609828223795
IMAX20,-0.004664838673154534
IMAX10,-0.004654114440857106
RSV30,0.004276587096769942
MA30,0.0038862403486531086
IMXD30,-0.003837379953995725
IMXD60,-0.0025058392715787818
RESI5,0.0018515296758832022
VMA30,-0.0017530460076385199
VSUMN60,0.0011855961089618878
VSUMD60,-0.0008940509194575146
RANK60,-0.000626749288112116
VSUMP60,-0.00061811462253463
RSV20,0.0005924132924460064
CNTD10,0.000360009484047815
VWAP0,
